ticker,feature,IC
FTS,month,-0.022187392049482144
FTS,month_sin,-0.01412404554521146
FTS,month_cos,0.11261195130509355
HCM,month,-0.07808521958904062
HCM,month_sin,0.09272783565670009
HCM,month_cos,0.10429116791222402
ORS,month,0.05476810145798698
ORS,month_sin,-0.03392908567638706
ORS,month_cos,0.07519611234017232
SSI,month,-0.08864274696523516
SSI,month_sin,0.08814899450989255
SSI,month_cos,0.09970217493988814
VIX,month,0.06935140216249254
VIX,month_sin,-0.0742320738876964
VIX,month_cos,0.04606844729957203
BSI,month,-0.050083565101832005
BSI,month_sin,0.012295013759485359
BSI,month_cos,-0.043376008969873814
CTS,month,-0.12198926154633496
CTS,month_sin,0.1046560633599091
CTS,month_cos,0.03295322298303655
AGR,month,-0.014038732279135305
AGR,month_sin,-0.00465646224047874
AGR,month_cos,0.026122820879028227
VDS,month,-0.12331230973690022
VDS,month_sin,0.04515177210614963
VDS,month_cos,-0.0004307872752864721
APG,month,-0.07235619686764058
APG,month_sin,-0.010699572992394905
APG,month_cos,-0.04523659976945435
TVS,month,-0.10277376535958986
TVS,month_sin,0.15622699382937574
TVS,month_cos,-0.056159210727218564
