auto_id,time,open_vix,high_vix,low_vix,close_vix,volume_vix,open_vnindex,high_vnindex,low_vnindex,close_vnindex,volume_vnindex,vnindex_close_lag_1,vnindex_close_lag_2,vnindex_close_lag_3,vnindex_return_1d_lag_1,vix_return_1d_lag_1,vnindex_ma5_lag_1,vix_vol_ma5_lag_1,SMA_10,SMA_20,RSI_14,SMA_10_dist,SMA_20_dist,BB_lower,BB_upper,BB_width,BB_position,MACD,MACD_Signal,MACD_Hist,ATR_14,ATR_14_ratio,Rolling_Std_10,OBV,ADX_14,Stoch_k,Stoch_d,day_of_week,month,return_5d,return_10d,return_20d,target_close_T1,target_return_T1,target_trend_T1,target_close_T3,log_return_T3,target_trend_T3,max_close_next_5_days,log_return_max,target_trend_T5,max_close_next_3_days_after_T2,log_return_max_real,target_trend_T5_Real
1,2016-08-19,1.04,1.04,1.01,1.01,465944.0,664.09,666.93,659.64,662.28,101626960.0,660.65,660.51,658.11,0.000211957426836884,0.0,658.89,387389.0,1.045,1.0820000000000003,40.83666774324462,-0.0334928229665071,-0.06654343807763426,0.9727248764284425,1.1912751235715582,0.20198728941138225,0.170556309401692,-0.04654621598518549,-0.05034696588867322,0.003800749903487728,0.03803356443629835,0.0376569944913845,0.017795130420053516,-1700640.0,35.742186427793506,13.942307692307713,19.668538805535736,4,8,-0.028846153846153855,-0.028846153846153855,-0.14406779661016944,0.96,-0.04950495049504955,0,0.96,-0.05077232537342326,0,1.06,0.04831857727080773,1,0.96,-0.05077232537342326,0
2,2016-08-22,1.01,1.01,0.96,0.96,746131.0,662.87,664.95,657.68,657.68,109773170.0,662.28,660.65,660.51,0.002467267085446201,-0.028846153846153855,660.204,385027.4,1.038,1.0700000000000003,34.384347831099895,-0.07514450867052029,-0.10280373831775728,0.9625903072099009,1.1774096927900997,0.20076578091607356,-0.012058070098770959,-0.05060505990779651,-0.05039858469249788,-0.00020647521529863072,0.038888309833705635,0.04050865607677671,0.03224903099319502,-2446771.0,36.395048090908375,7.692307692307705,15.126948215183532,0,8,-0.07692307692307698,-0.06796116504854377,-0.19999999999999996,0.96,0.0,0,0.96,0.0,0,1.04,0.08004270767353656,1,0.96,0.0,0
3,2016-08-23,0.96,0.98,0.96,0.96,399571.0,653.58,659.16,652.88,659.16,90297080.0,657.68,662.28,660.65,-0.006945702723923475,-0.04950495049504955,659.846,483275.6,1.028,1.0590000000000002,34.3843478310999,-0.06614785992217904,-0.09348441926345627,0.9539887224101476,1.1640112775898528,0.19832158185052418,0.028622057210516198,-0.05320836999066492,-0.05096054175213129,-0.0022478282385336237,0.03753914484558382,0.03910327588081648,0.03938414796731255,-2446771.0,37.00127677808647,0.0,7.211538461538472,1,8,-0.09433962264150952,-0.09433962264150952,-0.18644067796610164,0.96,0.0,0,1.01,0.050772325373423355,1,1.04,0.08004270767353656,1,1.01,0.050772325373423355,1
4,2016-08-24,0.96,0.99,0.96,0.96,353870.0,660.95,665.43,659.16,660.77,98316870.0,659.16,657.68,662.28,0.002250334509183771,0.0,660.0559999999999,436757.6,1.018,1.0495000000000003,34.384347831099895,-0.05697445972495093,-0.08527870414483119,0.9447747956743313,1.1542252043256693,0.199571613769736,0.07269121327432362,-0.054641637206694016,-0.05169676084304384,-0.0029448763636501785,0.03700063449947071,0.038542327603615326,0.04289522117905517,-2446771.0,37.09041927854801,0.0,2.5641025641025683,2,8,-0.07692307692307698,-0.09433962264150952,-0.16521739130434776,0.96,0.0,0,0.96,0.0,0,1.01,0.050772325373423355,1,1.01,0.050772325373423355,1
5,2016-08-25,0.96,0.98,0.95,0.96,266310.0,659.57,660.48,656.49,658.5,106728730.0,660.77,659.16,657.68,0.0024425025790399957,0.0,660.108,459596.6,1.007,1.0400000000000003,34.38434783109989,-0.0466732869910625,-0.07692307692307719,0.9392658527556166,1.140734147244384,0.19371951393150702,0.10291518721095538,-0.055141870641398194,-0.05238578280271471,-0.002756087838683481,0.03650058917807997,0.038021447060499966,0.04217687623436519,-2446771.0,37.380442752611145,2.380952380952381,0.7936507936507936,3,8,-0.07692307692307698,-0.10280373831775713,-0.16521739130434776,1.01,0.05208333333333348,1,0.98,0.02061928720273561,1,1.01,0.050772325373423355,1,1.01,0.050772325373423355,1
6,2016-08-26,0.96,1.03,0.96,1.01,780423.0,662.9,668.84,662.9,667.75,109776940.0,658.5,660.77,659.16,-0.0034353859890733363,0.0,659.678,446365.2,1.004,1.0330000000000004,45.884989582756965,0.005976095617529886,-0.02226524685382415,0.945918670802879,1.1200813291971217,0.16859889486373927,0.36793954449215843,-0.050916790048743055,-0.05209198425192038,0.0011751942031773266,0.03889340423678856,0.03850832102652333,0.04060651288757705,-1666348.0,35.61395806884026,16.666666666666664,6.349206349206348,4,8,0.0,-0.028846153846153855,-0.12173913043478257,0.96,-0.04950495049504955,0,0.96,-0.05077232537342326,0,1.01,0.0,0,0.98,-0.030153038170687558,0
7,2016-08-29,1.03,1.03,0.96,0.96,303607.0,670.71,679.62,669.44,669.44,108619910.0,667.75,658.5,660.77,0.014047076689445603,0.05208333333333348,660.7719999999999,509261.0,0.9959999999999999,1.0260000000000002,38.59918605548287,-0.036144578313252934,-0.06432748538011722,0.9390880663514677,1.112911933648533,0.16941897397374775,0.12030530659402344,-0.051014897390124325,-0.05187656687956117,0.0008616694894368476,0.041115303934160824,0.042828441598084195,0.0406065128875771,-1969955.0,33.973650862481584,19.047619047619044,12.698412698412696,0,8,0.0,-0.07692307692307698,-0.12727272727272743,0.98,0.02083333333333326,1,0.98,0.02061928720273561,1,1.01,0.050772325373423355,1,0.98,0.02061928720273561,1
8,2016-08-30,0.98,0.98,0.96,0.98,262563.0,667.96,672.67,666.33,672.67,87433660.0,669.44,667.75,658.5,0.002530887308124452,-0.04950495049504955,663.124,420756.2,0.9879999999999999,1.0220000000000002,42.530086428179864,-0.00809716599190273,-0.04109589041095915,0.9343163581240368,1.1096836418759637,0.17159225416039808,0.26050264849050686,-0.0489149541688122,-0.05128424433741138,0.0023692901685991863,0.03960706793886364,0.04041537544782004,0.03392802839999976,-1707392.0,32.4505084565771,23.809523809523807,19.841269841269835,1,8,0.02083333333333326,-0.07547169811320764,-0.07547169811320764,0.96,-0.020408163265306145,0,0.93,-0.052367985517315925,0,1.01,0.030153038170687457,1,0.98,0.0,0
9,2016-08-31,0.98,0.99,0.96,0.96,208105.0,673.1,676.26,671.39,674.63,93688890.0,672.67,669.44,667.75,0.004824928298279074,0.02083333333333326,665.826,393354.6,0.9799999999999999,1.0155000000000003,39.78697462451027,-0.02040816326530603,-0.054652880354505474,0.9297893484479653,1.1012106515520352,0.16880482826594764,0.17623627288432014,-0.048307705728538264,-0.05068893661563677,0.002381230887098504,0.0389208488003734,0.040542550833722296,0.029439202887760897,-1915497.0,30.649800704974293,11.904761904761905,18.253968253968253,2,8,0.0,-0.07692307692307698,-0.11926605504587162,0.98,0.02083333333333326,1,0.9,-0.06453852113757105,0,1.01,0.050772325373423355,1,0.98,0.02061928720273561,1
10,2016-09-01,0.98,0.99,0.96,0.98,495411.0,674.19,674.72,664.77,669.19,93925040.0,674.63,672.67,669.44,0.0029137615769991854,-0.020408163265306145,668.5980000000001,364201.6,0.9739999999999999,1.0110000000000003,43.69770626597637,0.006160164271047348,-0.030662710187933085,0.9279274255149175,1.0940725744850832,0.1643374371613904,0.3134161593513215,-0.04568598452059103,-0.04968834619662762,0.004002361676036591,0.038283645314632464,0.039064944198604554,0.02065591117977495,-1420086.0,28.977714935628832,16.666666666666664,17.46031746031746,3,9,0.02083333333333326,-0.05769230769230771,-0.0841121495327104,0.93,-0.05102040816326525,0,0.88,-0.10763066419236544,0,0.98,0.0,0,0.93,-0.052367985517315925,0
